,domain,signaltype,encryptedrequesturl,encryptedhref,encryptedpagetitle,encryptedcontent,signalscount,_c0,domain_exp,know_domain,certainty
1259,rocketreach.co,VISIT,rocketreach.co/jonathan-wakahe-email_4000416,,jonathan wakahe email address & phone number | cfc stanbic bank kenya wealth manager contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1260,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/dJ_2F_2BSjp944H6R6pbO8QA96KbkljYIctoCjyUudPULQCsMubCvukyo59HraBxkPBR?ut_source=dashboard,,2023 amwins/ciab business school,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1261,dashboard.scale.com,CLICK,dashboard.scale.com/rapid/batch,,,"task id: 641ca303f87bf649f5691dc6
ready to audit",1,270,"domain dashboard.scale.com provides a suite of services to help businesses manage their operations. it offers a range of tools to help users monitor performance, track progress, and optimize operations. it also provides analytics and insights to help users make informed decisions. additionally, it offers a range of integrations to help users connect with other services.","q1: yes, 4",q2: 4
1262,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/7wv7_2BXPyu8PHGZ82bOOHVOvlmnaQTqW0L2qzERZCTuQO_2BPVOMALxnnnXyqgr7Q5k?ut_source=dashboard,,exit interview 2023,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1263,khoros.com,CLICK,khoros.com/resources,khoros.com/resources/snack-breaks-hot-takes-jenny-weigle,,"webinar
snack breaks & hot takes: jenny weigle",1,133,"khoros.com provides a suite of products and services to help businesses engage with customers, build relationships, and grow their brand. users can create and manage social media accounts, create content, monitor conversations, and measure the success of their campaigns. khoros also offers customer service solutions, such as automated ticketing and live chat, to help businesses provide better customer service.","q1: yes, 4",q2: 4
1264,net32.com,VISIT,net32.com/account/orders,,order #34812436 | dental supplies,,1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1265,rocketreach.co,VISIT,rocketreach.co/san-jose-boiler-works-profile_b5cd6bf7f42e0b0d,,san jose boiler works: contact details and business profile,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1266,capella.edu,CLICK,capella.edu/lp/counselingnav,capella.edu/lp/counselingnav#tab_certificates9894,,certificates,1,238,"capella university is an online university offering flexible, accredited degree programs and courses for working adults. it provides a wide range of degree programs, including bachelor's, master's, doctoral, and certificate programs in business, education, health, psychology, technology, and more. it also offers a variety of services, such as career counseling, academic advising, and online tutoring.","q1: yes, 5",q2: 5
1267,rocketreach.co,CLICK,rocketreach.co/person,,,"sandhya mishra
managing partner
 
pentagram consulting
delhi, delhi, india
found 1 email: pentagramc",1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1268,rocketreach.co,CLICK,rocketreach.co/alex-bayly-email_28470035,rocketreach.co/alex-bayly-email_71346569,,view,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1269,rocketreach.co,CLICK,rocketreach.co/person,,,"melchor jr g
unit head - equipment engineering
 calabarzon, philippines
tong hsing electronics phili",1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1270,rapidapi.com,CLICK,rapidapi.com/developer/authorization/hello,,,cancel,1,288,"rapidapi is a marketplace for developers to discover, connect, and manage apis. it offers a wide range of apis from different categories, such as weather, maps, payments, and more. users can search for apis, test them, and integrate them into their applications. rapidapi also provides tools to monitor api performance and usage.","q1: yes, 4",q2: 4
1271,rocketreach.co,VISIT,rocketreach.co/felix-kammerer-email_135851073,,felix kammerer email address & phone number | ebm-papst group data scientist contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1272,shell.com,VISIT,shell.com/investors/news-and-filings/sec-filings.html,,shell techworks | shell global,,1,61,"domain shell.com offers a range of services, including domain registration, web hosting, website building, and email services. users can register domains, build websites, and manage their hosting and email accounts. they can also access a range of tools to help them manage their domains and websites.","q1: yes, 5",q2: 5
1273,surveymonkey.com,CLICK,surveymonkey.com/summary/iOUSHxn8gFrbp9lEFnN6SqZNAxPFhblMuNKhHD7UT39Xs81RpvVBydbmfWThimE4,surveymonkey.com/create/preview/?sm=iOUSHxn8gFrbp9lEFnN6SkrJTm3_2BxQ8IGLTiWq5HXzo_3D,,preview & score,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1274,stocksy.com,CLICK,stocksy.com/2888327/iceland,stocksy.com/user/consumergallery/8478d0e8-3af6-46bf-919f-ba335ff527c5,,lauren,1,31,"stocksy is a royalty-free stock photography website offering high-quality images, videos, and music. users can search, purchase, and download images, videos, and music for commercial and personal use. they can also upload their own images and videos to the website to be sold. stocksy also offers a range of services such as custom image requests, exclusive collections, and more.","q1: yes, 5",q2: 5
1275,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"direct message
on vacation oficial
🌠laura tavera🌠
para san andrés",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1276,surveymonkey.com,CLICK,surveymonkey.com/summary/bMdVueFlRSHdHLVz8M6Yv7CdOsBd0_2Fw0Nj8t1k_2Bac2vpJ4JLXzAhYBx2fZdO8hEv,surveymonkey.com/collect/list?sm=bMdVueFlRSHdHLVz8M6Yv3CTR1jc26JCUoHq3Soh_2BVI_3D,,send survey,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1277,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/8pCVSBxjcACBanUOT1NL_2Fi_2F3k_2FzWIUEvmv90iW_2BaH34gOQlgwn9u52jSN8QjXwzw?ut_source=dashboard,,workday day in the life survey,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1278,surveymonkey.com,CLICK,surveymonkey.com/surveys,surveymonkey.com/summary/JgjYFEwxHjp85suT272O4g7F4GK0yfJ0_2B0FWkzSbwgp96i5Z_2BY43yKT16_2BL4HovA?ut_source=my_surveys_list,,laser layout systems ttt 03/01/2023 - 03/03/2023,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1279,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/Cw7Fjy_2FWq2e_2FWpzT_2Bn2Z6tFHMFDlCF7lHPjnARLuqM61UrA_2Br4f5mI5IluL6Sofs?ut_source=dashboard,,mesa police department women's leadership symposium series vi,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1280,rocketreach.co,CLICK,rocketreach.co/gautam-biswas-email_2860491,rocketreach.co/person?link=https://www.linkedin.com/in/gautam-biswas-a92b9617,,+91 90040 7xxxx,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1281,corp.kaltura.com,VISIT,corp.kaltura.com,,you searched for ladybug%20and%20cat%20noir | kaltura,,1,306,"corp.kaltura.com provides a comprehensive video platform for businesses, offering a range of services such as video hosting, streaming, editing, and analytics. it enables users to create, manage, and share videos across multiple devices and platforms. it also provides tools for monetizing content, managing users, and tracking performance.",q1: yes 4,q2: 4
1282,rocketreach.co,VISIT,rocketreach.co/david-holbert-email_60970723,,david holbert email address & phone number | merrill lynch financial advisor contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1283,net32.com,VISIT,net32.com/account/orders/details/34590192,,order history | dental supplies,,1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1284,surveymonkey.com,CLICK,surveymonkey.com/summary/E6_2Bsdndtw0skclFdaPpMC7ulaVCfF0sN2j8ScV_2Bhpc1ZalsNI8O_2FkrUMLEtFxipw,surveymonkey.com/analyze/E6_2Bsdndtw0skclFdaPpMC8lozJ0YhIbc_2FtmSBabt_2BF0_3D,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1285,siteone.com,CLICK,siteone.com/en/b702308-bcf-atrazine-herbicide-115-25-0-5-50-lb/p/458573,,,account sign in  ,1,279,"siteone.com offers a wide range of services, including web hosting, domain registration, website design, and online marketing. users can create and manage their own websites, register domains, and access various marketing tools. siteone.com also provides customer support and tutorials to help users get the most out of their services.",q1: yes 4,q2: 4
1286,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"headshots photography
headshots photography",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1287,eaton.com,CLICK,eaton.com/us/en-us/skuPage.XTOE045CCS.html,,,xtoe045ccs,1,33,"eaton.com provides a wide range of products and services, including power management solutions, electrical components, hydraulic components, and aerospace fuel, hydraulic, and pneumatic systems. users can find product information, order parts, and access technical support.","q1: yes, 4",q2: 4
1288,quadient.com,CLICK,quadient.com/en/blog/how-ibmr-content-manager-ondemandr-helps-improves-customer-experience,,,about us,1,267,"quadient.com provides a range of digital solutions, including document automation, customer experience management, and mailroom automation. it helps businesses to streamline processes, improve customer engagement, and increase efficiency. users can access a range of services, such as document creation, document management, and customer experience management.","q1: yes, 4",q2: 4
1289,surveymonkey.com,CLICK,surveymonkey.com/summary/CnC5DTJNstbuK5_2FNtkrps46mbX6KoLU0_2FXhzcZrQLg8_3D,,,cookie preferences,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1290,rocketreach.co,VISIT,rocketreach.co/veoci-email-format_b5e55be7f42e678e,,veoci: contact details and business profile,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1291,procore.com,CLICK,procore.com/en-ca/offices,procore.com/en-ca/contact,,contact,1,183,"procore is a construction project management platform that provides users with tools to manage projects, documents, and communication. it offers a suite of cloud-based applications, including project management, document control, quality & safety, and field management. users can access project information, collaborate with team members, and track progress from any device. procore also provides mobile apps for ios and android.","q1: yes, 5",q2: 5
1292,south.edu,CLICK,south.edu/admissions/financial-aid/military-grant,www.south.edu/success-stories,,success stories,1,315,"domain south.edu provides a range of services, including web hosting, domain registration, web design, and web development. it also offers a range of online tools and services, such as email, webmail, and web analytics. additionally, it provides a range of support services, such as technical support, customer service, and online tutorials.","q1: yes, 4",q2: 4
1293,myob.com,CLICK,myob.com/au/support/search-results,help.myob.com/wiki/display/myob/Bank+feeds?searchfacet=support:help&searchterm=sync bank feed,,bank feeds - myob business,1,46,"myob.com is a business software provider offering a range of products and services to help businesses manage their finances. users can access accounting, payroll, tax, and other services, as well as access support and training. myob.com also provides a range of online tools to help businesses manage their finances.","q1: yes, 5",q2: 5
1294,rocketreach.co,CLICK,rocketreach.co/person,,,conor murtagh,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1295,rocketreach.co,VISIT,rocketreach.co/national-instruments-uk-ireland-email-format_b5e1622bf42e6b67,,national instruments uk & ireland email format | ni.com emails,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1296,surveymonkey.com,CLICK,surveymonkey.com/summary/TxyoDWVMX2zUXjVAYt12KkN47yWbNApqk_2FbZ6ejunsQ_3D,surveymonkey.com/surveys/?ut_source=header,,my surveys,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1297,surveymonkey.com,CLICK,surveymonkey.com/summary/LWiM0RJZAKGrIKfjDtWiSOyarEP_2BGzbyTh_2BZyj1VoTnKt2zGVeoE5SKVgFfjFE62,surveymonkey.com/surveys/?ut_source=header,,my surveys,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1298,hootsuite.com,CLICK,hootsuite.com/dashboard,www.facebook.com/234776598676803/posts/572618178225975,,view on facebook,1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1299,app.atera.com,CLICK,app.atera.com/Admin,,,store 363 - fairmont city (5),1,158,"app.atera.com is a cloud-based platform that provides users with a suite of services, such as project management, task management, time tracking, and invoicing. it also offers a range of integrations with other popular business tools, allowing users to manage their projects and tasks more efficiently. additionally, users can collaborate with their team members, track progress, and generate reports.","q1: yes, 4",q2: 4
1300,dashboard.scale.com,CLICK,dashboard.scale.com/studio/tasks,,,bare_chest 2578,1,270,"domain dashboard.scale.com provides a suite of services to help businesses manage their operations. it offers a range of tools to help users monitor performance, track progress, and optimize operations. it also provides analytics and insights to help users make informed decisions. additionally, it offers a range of integrations to help users connect with other services.","q1: yes, 4",q2: 4
1301,business.linkedin.com,CLICK,business.linkedin.com/marketing-solutions/cx/21/10/ad-targeting/account-targeting,www.linkedin.com/ad/accounts?mcid=6843969601940799654&src=re-other&trk=nw_ml_ma&veh=mail.google.com|re-other,,campaign manager,1,256,"domain business.linkedin.com provides a platform for businesses to connect with professionals, find job opportunities, and build their professional network. it offers services such as job postings, company pages, and profile building. users can search for jobs, connect with other professionals, and create a professional profile.","q1: yes, 4",q2: 4
1302,surveymonkey.com,CLICK,surveymonkey.com/create,,,"0 edit options move copy library delete
nrf will use the survey results to determine its tax priorit",1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1303,rapidapi.com,VISIT,rapidapi.com/jaypat87/api/linkedin-jobs-search,,jj espinoza developer profile | rapidapi,,1,288,"rapidapi is a marketplace for developers to discover, connect, and manage apis. it offers a wide range of apis from different categories, such as weather, maps, payments, and more. users can search for apis, test them, and integrate them into their applications. rapidapi also provides tools to monitor api performance and usage.","q1: yes, 4",q2: 4
1304,surveymonkey.com,CLICK,surveymonkey.com/welcome/team-user,help.surveymonkey.com/??ut_source=sem_lp&l=en_US&ut_source2=team-user&ut_source3=megamenu,,"help center
find quick answers to your questions",1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1305,surveymonkey.com,VISIT,surveymonkey.com/summary/qxyt8aQDCoBFKkgIZVo4M_2FJFGVoIrDuUZZAkle0m0yzt_2FJjGkCHm3_2FKle4Yo_2F61X,,surveymonkey survey summary,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1306,surveymonkey.com,VISIT,surveymonkey.com/summary/qxFq5fAFmdkmUGxMj49pdvKeOjP5Blny06ynRYJ_2B8mw_2BTrCLaHCLeuO3mX1wfY4R,,welcome to surveymonkey!,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1307,servicenow.com,CLICK,servicenow.com/now-platform/latest-release.html,www.servicenow.com/products/security-operations.html,,security operations (secops),1,217,"servicenow.com provides it service management solutions, including incident management, problem management, change management, asset management, and service catalog. it also offers it operations management, it business management, and it security management solutions. users can access the platform to create, track, and manage service requests, automate workflows, and gain insights into their it operations.","q1: yes, 5",q2: 5
1308,surveymonkey.com,VISIT,surveymonkey.com/summary/xhfaDXOuomusDDjB2O_2F3pbOelBcwFXuVpCnOe5n3rSNEl1mbeXh1do40sHvVX3Yb,,welcome to surveymonkey!,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1309,rocketreach.co,VISIT,rocketreach.co/channing-house-profile_b5c20859f42e0eb7,,channing house: contact details and business profile,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1310,stackadapt.com,CLICK,stackadapt.com/editor,www.stackadapt.com/screenshot?bodytext=&click_url=https://www.orderconstellation.com/states/georgia-202208?utm_source=stackadapt&creative_js=PGlucyBjbGFzcz0nZGNtYWRzJyBzdHlsZT0nZGlzcGxheTppbmxpbmUtYmxvY2s7d2lkdGg6MzAwcHg7aGVpZ2h0OjI1MHB4Jw0KICAgIGRhdGEtZGNtLXBsYWNlbWVudD0nTjIwMTA5MTkuMzEyODk0MFNUQUNLQURBUFQvQjI5MzIyNzU4LjM1ODc3OTMxNicNCiAgICBkYXRhLWRjbS1yZW5kZXJpbmctbW9kZT0naWZyYW1lJw0KICAgIGRhdGEtZGNtLWh0dHBzLW9ubHkNCiAgICBkYXRhLWRjbS1nZHByLWFwcGxpZXM9J2dkcHI9JHtHRFBSfScNCiAgICBkYXRhLWRjbS1nZHByLWNvbnNlbnQ9J2dkcHJfY29uc2VudD0ke0dEUFJfQ09OU0VOVF83NTV9Jw0KICAgIGRhdGEtZGNtLWFkZHRsLWNvbnNlbnQ9J2FkZHRsX2NvbnNlbnQ9JHtBRERUTF9DT05TRU5UfScNCiAgICBkYXRhLWRjbS1sdGQ9J2ZhbHNlJw0KICAgIGRhdGEtZGNtLXJlc2V0dGFibGUtZGV2aWNlLWlkPScnDQogICAgZGF0YS1kY20tYXBwLWlkPScnPg0KICA8c2NyaXB0IHNyYz0naHR0cHM6Ly93d3cuZ29vZ2xldGFnc2VydmljZXMuY29tL2RjbS9kY21hZHMuanMnPjwvc2NyaXB0Pg0KPC9pbnM+&headline=&height=250&id=255&sponsor=Constellation&width=300,,yahoo,1,313,"stackadapt.com is a digital advertising platform that helps brands reach their target audiences. it offers a range of services, including programmatic buying, retargeting, audience targeting, and more. users can create campaigns, track performance, and optimize their campaigns for maximum reach and engagement.","q1: yes, 4",q2: 4
1311,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/v7k_2Fayvi2hGt3dZcvHGAWl6OnuZU_2FkojycXqBsBQiefz81LU175MVxrkBB69GL2P?ut_source=dashboard,,exit interview - hype dc (aus retail - casuals only),1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1312,pmi.org,CLICK,pmi.org/about/contact,,,renita tucker,1,148,"pmi.org is a project management resource hub offering a range of services, such as certification, training, publications, research, and networking. it provides access to tools, templates, and best practices to help project managers succeed. it also offers a library of resources, including articles, videos, and podcasts.","q1: yes, 4",q2: 4
1313,surveymonkey.com,CLICK,surveymonkey.com/surveys,surveymonkey.com/summary/B5umvG3Rnu_2BH3VdcAG2UAUOipWy87M2UZz7XasOeAKNu7v2fUxuzT6shacqoxOdR?ut_source=my_surveys_list,,greater cape ann community needs survey 2022-2023 - staff,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1314,net32.com,VISIT,net32.com/account/orders/details/35003121,,order history | dental supplies,,1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1315,masterclass.com,CLICK,masterclass.com/classes/wolfgang-puck-teaches-cooking,masterclass.com/classes/gabriela-camara-teaches-mexican-cooking/chapters/tacos-al-pastor-achiote-marinated-pork-tacos,,tacos al pastor | achiote-marinated pork tacos,1,309,"domain masterclass.com offers online courses and tutorials in a variety of topics, such as business, technology, and creative skills. users can access video lessons, practice activities, and assessments to learn and develop their skills. they can also connect with experts and peers to get feedback and support.","q1: yes, 5",q2: 5
1316,surveymonkey.com,CLICK,surveymonkey.com/summary/NElV6gV0P5NtaQWcj4uJK8GUABKdMZdGArUdkblvtF1TzZkuVOS5ewjLO4ZCByCw,surveymonkey.com/analyze/NElV6gV0P5NtaQWcj4uJK0OInHD8ViBf_2BXg7Ew2UcJA_3D,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1317,surveymonkey.com,CLICK,surveymonkey.com/summary/uGx3jQGUiDrUheG3om6XNEwZ8Tyz6jPT9uPS_2FrFsaJfcWYqTadAGwqNPV0tNmQWc,surveymonkey.com/analyze/uGx3jQGUiDrUheG3om6XNLcj1yrksl1HXFz5rAhvBqk_3D,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1318,cbre.com,CLICK,cbre.com/offices/corporate/chicago/chicago-property-search-sublease/results,,,"glenview, il, usa",1,1,"cbre.com is a global commercial real estate services company offering a range of services including leasing, property sales, project management, and asset management. it provides services to owners, investors, and occupiers of all types of commercial property. it also offers research, consulting, and valuation services. cbre.com helps clients make informed decisions about their real estate investments.","q1: yes, 5",q2: 5
